Time(ms),Altitude(m),mode,çÇìxïœâª
52,40.34,0,-2.19
185,39.91,0,-2.62
318,39.75,0,-2.78
451,39.58,0,-2.95
584,39.75,0,-2.78
717,39.75,0,-2.78
850,40.34,0,-2.19
983,39.75,0,-2.78
1116,39.83,0,-2.7
1249,40.17,0,-2.36
1382,40,1,-2.53
1515,40.08,1,-2.45
1648,40,1,-2.53
1781,39.58,1,-2.95
1914,39.24,1,-3.29
2047,39.49,1,-3.04
2180,39.58,1,-2.95
2313,40.25,1,-2.28
2446,40.17,1,-2.36
2579,39.91,1,-2.62
2712,39.58,1,-2.95
2845,39.75,1,-2.78
2978,39.66,1,-2.87
3111,39.91,1,-2.62
3244,39.58,1,-2.95
3377,39.83,1,-2.7
3510,39.83,1,-2.7
3643,40.17,1,-2.36
3776,39.75,1,-2.78
3909,39.49,1,-3.04
4042,39.49,1,-3.04
4175,39.91,1,-2.62
4308,39.83,1,-2.7
4441,39.83,1,-2.7
4574,39.75,1,-2.78
4707,39.49,1,-3.04
4840,39.75,1,-2.78
4973,39.66,1,-2.87
5106,40.34,1,-2.19
5239,40.08,1,-2.45
5372,39.58,1,-2.95
5505,39.75,1,-2.78
5638,39.66,1,-2.87
5771,40.17,1,-2.36
5904,39.66,1,-2.87
6037,39.32,1,-3.21
6170,40,1,-2.53
6303,39.66,1,-2.87
6436,39.83,1,-2.7
6569,40.17,1,-2.36
6702,39.91,1,-2.62
6835,40.08,1,-2.45
6968,40.42,1,-2.11
7101,40.5,1,-2.03
7234,40.5,1,-2.03
7367,40.34,1,-2.19
7500,40.67,1,-1.86
7633,40.84,1,-1.69
7766,41.43,1,-1.1
7899,40.67,1,-1.86
8032,41.35,1,-1.18
8165,41.18,1,-1.35
8298,41.26,1,-1.27
8431,41.43,1,-1.1
8564,41.6,1,-0.93
8697,41.26,1,-1.27
8830,41.18,1,-1.35
8963,41.43,1,-1.1
9096,41.18,1,-1.35
9229,41.52,1,-1.01
9362,41.18,1,-1.35
9495,41.69,1,-0.84
9628,41.77,1,-0.76
9761,41.85,1,-0.68
9894,42.19,1,-0.34
10027,41.69,1,-0.84
10160,41.94,1,-0.59
10293,42.53,1,0
10426,42.02,1,-0.51
10559,41.6,1,-0.93
10692,41.85,1,-0.68
10825,41.69,2,-0.84
10958,41.35,2,-1.18
11091,41.35,2,-1.18
11224,41.43,2,-1.1
11357,41.26,2,-1.27
11490,41.26,2,-1.27
11623,41.35,2,-1.18
11756,41.26,2,-1.27
11889,41.01,2,-1.52
12022,40.76,2,-1.77
12155,40.84,2,-1.69
12288,40.34,2,-2.19
12421,41.01,2,-1.52
12554,40.67,2,-1.86
12687,40.76,2,-1.77
12820,40.84,2,-1.69
12953,40.84,2,-1.69
13086,40.76,2,-1.77
13219,40.59,2,-1.94
13352,40.76,2,-1.77
13485,40.5,2,-2.03
13618,40.59,2,-1.94
13751,40.59,2,-1.94
13884,40.76,2,-1.77
14017,40.34,2,-2.19
14150,40.17,2,-2.36
14283,40.34,2,-2.19
15457,40.84,3,-1.69
15590,40.42,3,-2.11
15723,40.34,3,-2.19
15856,40.08,3,-2.45
15989,40.25,3,-2.28
16122,39.91,3,-2.62
16255,40.25,3,-2.28
16388,40,3,-2.53
16521,39.83,3,-2.7
16654,40,3,-2.53
16787,40.25,3,-2.28
16920,40.42,3,-2.11
17053,40,3,-2.53
17186,40.34,3,-2.19
17319,40.08,3,-2.45
17452,40.76,3,-1.77
17585,40.17,3,-2.36
17718,40.17,3,-2.36
17851,40.42,3,-2.11
17984,40.08,3,-2.45
18117,40.08,3,-2.45
18250,40.08,3,-2.45
18383,39.75,3,-2.78
18516,40.59,3,-1.94
18649,39.75,3,-2.78
18782,40.25,3,-2.28
18915,40.17,3,-2.36
19048,40.08,3,-2.45
19181,39.66,3,-2.87
19314,40.59,3,-1.94
19447,39.83,3,-2.7
19580,39.83,3,-2.7
19713,40.17,3,-2.36
19846,40.5,3,-2.03
19979,39.91,3,-2.62
20112,40.17,3,-2.36
20245,40.5,3,-2.03
20378,40.17,3,-2.36
20511,40.08,3,-2.45
20644,40,3,-2.53
20777,40.17,3,-2.36
20910,40.17,3,-2.36
21043,40.17,3,-2.36
21176,40.08,3,-2.45
21309,40.08,3,-2.45
21442,40.17,3,-2.36
21575,40.08,3,-2.45
21708,40.17,3,-2.36
21841,40,3,-2.53
