Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode
1034,38.2612233,140.8485612,0.19,-0.49,10.03,81.58,0
1216,38.2612233,140.8485612,0.15,-0.53,10.02,81.91,0
1339,38.2612233,140.8485612,0.17,-0.51,10.03,81.91,0
1487,38.2612233,140.8485612,0.15,-0.47,10.03,81.66,0
1638,38.2612233,140.8485612,0.15,-0.53,10.07,81.16,0
1789,38.2612233,140.8485612,0.17,-0.51,10.07,81.66,0
1940,38.2612233,140.8485612,0.17,-0.45,10.03,81.41,0
2064,38.2612233,140.8485612,0.15,-0.49,10.09,81.91,0
2247,38.2612233,140.8485612,0.17,-0.53,10.05,81.33,0
2371,38.2612233,140.8485612,0.17,-0.49,10.03,81.49,0
2505,38.2612233,140.8485612,0.15,-0.47,10.05,81.49,0
2656,38.2612233,140.8485612,0.15,-0.47,10.05,81.49,0
2807,38.2612233,140.8485612,0.15,-0.49,10.07,81.58,0
2958,38.2612233,140.8485612,0.15,-0.51,10.07,81.16,0
3082,38.2612233,140.8485612,0.17,-0.49,10.07,81.49,0
3263,38.2612233,140.8485612,0.15,-0.49,10.07,82.08,0
3387,38.2612233,140.8485612,0.15,-0.51,10.07,81.91,0
3523,38.2612233,140.8485612,0.15,-0.51,10.07,81.91,0
3674,38.2612233,140.8485612,0.15,-0.51,10.05,81.49,0
3825,38.2612233,140.8485612,0.13,-0.49,10.03,81.33,0
3976,38.2612233,140.8485612,0.17,-0.49,10.03,81.58,0
4100,38.2612233,140.8485612,0.13,-0.51,10.05,81.75,0
4282,38.2612233,140.8485612,0.15,-0.47,10.05,81.91,0
4405,38.2612233,140.8485612,0.15,-0.49,10.03,81.41,0
4541,38.2612233,140.8485612,0.15,-0.49,10.07,81.41,0
4692,38.2612233,140.8485612,0.17,-0.49,10.05,81.75,0
4843,38.2612233,140.8485612,0.17,-0.49,10.07,81.75,0
4994,38.2612233,140.8485612,0.17,-0.49,10.03,81.24,0
5118,38.2612233,140.8485612,0.13,-0.49,10.07,81.83,0
5299,38.2612233,140.8485612,0.15,-0.49,10.05,81.58,0
5423,38.2612233,140.8485612,0.17,-0.47,10.05,81.07,0
5558,38.2612233,140.8485612,0.19,-0.47,10.03,81.58,0
