
Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode
1022,38.2612233,140.8485612,-0.45,1.95,10.57,0.00,0
1199,38.2612233,140.8485612,0.80,0.97,10.74,0.00,0
1324,38.2612233,140.8485612,2.05,0.91,8.96,0.00,0
1475,38.2612233,140.8485612,3.52,0.74,9.23,0.00,0
1626,38.2612233,140.8485612,1.80,0.70,10.07,0.00,0
1777,38.2612233,140.8485612,1.05,0.72,9.35,0.00,0
1928,38.2612233,140.8485612,0.63,0.99,9.31,0.00,0
2049,38.2612233,140.8485612,0.57,1.32,9.27,0.00,0
2225,38.2612233,140.8485612,1.09,1.49,10.49,0.00,0
2348,38.2612233,140.8485612,-0.21,1.82,9.82,0.00,0
2493,38.2612233,140.8485612,-0.49,1.62,9.82,0.00,0
2644,38.2612233,140.8485612,0.44,1.64,9.71,0.00,0
2795,38.2612233,140.8485612,0.95,1.80,9.50,0.00,0
2946,38.2612233,140.8485612,0.78,1.64,9.52,0.00,0
3067,38.2612233,140.8485612,0.90,1.59,9.42,0.00,0
3242,38.2612233,140.8485612,1.20,1.78,9.61,0.00,0
3363,38.2612233,140.8485612,1.45,1.70,9.44,0.00,0
3510,38.2612233,140.8485612,2.49,1.53,9.61,0.00,0
3661,38.2612233,140.8485612,2.98,2.52,8.87,0.00,0
3812,38.2612233,140.8485612,2.29,2.43,8.85,0.00,0
3963,38.2612233,140.8485612,5.34,1.43,8.89,0.00,0
4084,38.2612233,140.8485612,6.34,0.90,6.61,0.00,0
4260,38.2612233,140.8485612,7.28,-1.78,5.03,0.00,0
4381,38.2612233,140.8485612,8.64,0.30,6.89,0.00,0
4528,38.2612233,140.8485612,7.74,-0.90,5.26,0.00,0
4679,38.2612233,140.8485612,6.15,-1.91,7.26,0.00,0
4830,38.2612233,140.8485612,6.62,-0.55,9.15,0.00,0
4981,38.2612233,140.8485612,5.09,0.42,7.98,0.00,0
5102,38.2612233,140.8485612,4.61,0.70,7.95,0.00,0
5279,38.2612233,140.8485612,5.13,4.34,6.45,0.00,0
5400,38.2612233,140.8485612,4.21,3.94,5.28,0.00,0
5545,38.2612233,140.8485612,3.64,8.08,0.99,0.00,0
5696,38.2612233,140.8485612,2.39,12.26,-0.82,0.00,0
5847,38.2612233,140.8485612,1.57,10.61,1.60,0.00,0
5998,38.2612233,140.8485612,-0.24,9.35,0.76,0.00,0
6119,38.2612233,140.8485612,0.42,9.44,1.28,0.00,0
6295,38.2612233,140.8485612,-0.44,9.06,0.67,0.00,0
6416,38.2612233,140.8485612,0.09,9.33,0.63,0.00,0
6563,38.2612233,140.8485612,0.05,9.23,0.72,0.00,0
6714,38.2612233,140.8485612,0.03,9.25,0.68,0.00,0
6865,38.2612233,140.8485612,0.03,9.25,0.68,0.00,0
6986,38.2612233,140.8485612,0.05,9.25,0.72,0.00,0
7128,38.2612233,140.8485612,0.03,9.23,0.68,0.00,0
7304,38.2612233,140.8485612,0.05,9.25,0.68,0.00,0
7430,38.2612233,140.8485612,0.05,9.25,0.68,0.00,0
7581,38.2612233,140.8485612,0.05,9.25,0.68,0.00,0
7732,38.2612233,140.8485612,0.05,9.25,0.70,0.00,0
7883,38.2612233,140.8485612,0.05,9.27,0.70,0.00,0
8004,38.2612233,140.8485612,0.03,9.23,0.68,0.00,0
8146,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
8321,38.2612233,140.8485612,0.03,9.27,0.72,0.00,0
8448,38.2612233,140.8485612,0.05,9.27,0.70,0.00,0
8599,38.2612233,140.8485612,0.03,9.25,0.68,0.00,0
8750,38.2612233,140.8485612,0.07,9.23,0.70,0.00,0
8901,38.2612233,140.8485612,0.07,9.25,0.70,0.00,0
9022,38.2612233,140.8485612,0.03,9.27,0.68,0.00,0
9163,38.2612233,140.8485612,0.03,9.29,0.70,0.00,0
9339,38.2612233,140.8485612,0.03,9.27,0.67,0.00,0
9465,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
9616,38.2612233,140.8485612,0.05,9.23,0.72,0.00,0
9767,38.2612233,140.8485612,0.07,9.27,0.68,0.00,0
9918,38.2612233,140.8485612,0.03,9.25,0.68,0.00,0
10039,38.2612233,140.8485612,0.01,9.29,0.68,0.00,0
10181,38.2612233,140.8485612,0.05,9.29,0.68,0.00,0
10357,38.2612233,140.8485612,0.05,9.23,0.67,0.00,0
10483,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
10634,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
10785,38.2612233,140.8485612,0.05,9.27,0.70,0.00,0
10936,38.2612233,140.8485612,0.05,9.25,0.72,0.00,0
11059,38.2612233,140.8485612,0.05,9.27,0.70,0.00,0
11199,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
11375,38.2612233,140.8485612,0.05,9.27,0.72,0.00,0
11501,38.2612233,140.8485612,0.05,9.25,0.72,0.00,0
11652,38.2612233,140.8485612,0.05,9.25,0.68,0.00,0
11803,38.2612233,140.8485612,0.07,9.29,0.74,0.00,0
11954,38.2612233,140.8485612,0.05,9.25,0.68,0.00,0
12075,38.2612233,140.8485612,0.03,9.27,0.72,0.00,0
12217,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
12395,38.2612233,140.8485612,0.01,9.29,0.68,0.00,0
12519,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
12670,38.2612233,140.8485612,0.03,9.25,0.72,0.00,0
12821,38.2612233,140.8485612,0.05,9.27,0.70,0.00,0
12972,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
13093,38.2612233,140.8485612,0.03,9.31,0.72,0.00,0
13235,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
13411,38.2612233,140.8485612,0.07,9.23,0.70,0.00,0
13537,38.2612233,140.8485612,0.03,9.25,0.72,0.00,0
13688,38.2612233,140.8485612,0.03,9.27,0.68,0.00,0
13839,38.2612233,140.8485612,0.05,9.27,0.72,0.00,0
13990,38.2612233,140.8485612,0.03,9.27,0.74,0.00,0
14111,38.2612233,140.8485612,0.07,9.25,0.68,0.00,0
14253,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
14429,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
14555,38.2612233,140.8485612,0.05,9.27,0.68,0.00,0
14706,38.2612233,140.8485612,0.05,9.29,0.68,0.00,0
14857,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
15008,38.2612233,140.8485612,0.03,9.23,0.72,0.00,0
15129,38.2612233,140.8485612,0.03,9.23,0.68,0.00,0
15271,38.2612233,140.8485612,0.03,9.25,0.74,0.00,0
15447,38.2612233,140.8485612,0.03,9.27,0.72,0.00,0
15573,38.2612233,140.8485612,0.05,9.25,0.72,0.00,0
15724,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
15875,38.2612233,140.8485612,0.03,9.27,0.72,0.00,0
15996,38.2612233,140.8485612,0.03,9.27,0.72,0.00,0
16138,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
16289,38.2612233,140.8485612,0.01,9.27,0.72,0.00,0
16465,38.2612233,140.8485612,0.05,9.25,0.70,0.00,0
16591,38.2612233,140.8485612,0.03,9.27,0.68,0.00,0
16742,38.2612233,140.8485612,0.09,9.27,0.70,0.00,0
16893,38.2612233,140.8485612,0.03,9.25,0.70,0.00,0
17014,38.2612233,140.8485612,0.03,9.25,0.72,0.00,0
17156,38.2612233,140.8485612,0.05,9.27,0.72,0.00,0
17307,38.2612233,140.8485612,0.05,9.25,0.68,0.00,0
17483,38.2612233,140.8485612,0.03,9.25,0.76,0.00,0
17609,38.2612233,140.8485612,0.03,9.27,0.70,0.00,0
17760,38.2612233,140.8485612,0.05,9.29,0.70,0.00,0
17911,38.2612233,140.8485612,0.03,9.27,0.68,0.00,0
18032,38.2612233,140.8485612,0.05,9.27,0.70,0.00,0
